name,link,age,value
Edinson Cavani,https://www.transfermarkt.co.uk/edinson-cavani/profil/spieler/48280,22,£7.20m  
Diego Lugano,https://www.transfermarkt.co.uk/diego-lugano/profil/spieler/13829,28,£9.00m  
Álvaro Pereira,https://www.transfermarkt.co.uk/alvaro-pereira/profil/spieler/54859,23,£2.93m  
Jorge Fucile,https://www.transfermarkt.co.uk/jorge-fucile/profil/spieler/44057,24,£4.50m  
Walter Gargano,https://www.transfermarkt.co.uk/walter-gargano/profil/spieler/52266,24,£4.95m  
Egidio Arévalo Ríos,https://www.transfermarkt.co.uk/egidio-arevalo-rios/profil/spieler/54818,27,£1.13m  
Diego Forlán,https://www.transfermarkt.co.uk/diego-forlan/profil/spieler/3408,30,£21.60m  
Luis Suárez,https://www.transfermarkt.co.uk/luis-suarez/profil/spieler/44352,22,£13.50m  
Osman Chávez,https://www.transfermarkt.co.uk/osman-chavez/profil/spieler/62359,24, 
Sergio Mendoza,https://www.transfermarkt.co.uk/sergio-mendoza/profil/spieler/62257,28, 
Emilio Izaguirre,https://www.transfermarkt.co.uk/emilio-izaguirre/profil/spieler/62246,23, 
Mauricio Sabillón,https://www.transfermarkt.co.uk/mauricio-sabillon/profil/spieler/62271,30, 
Wilson Palacios,https://www.transfermarkt.co.uk/wilson-palacios/profil/spieler/58361,24,£12.15m  
Danilo Turcios,https://www.transfermarkt.co.uk/danilo-turcios/profil/spieler/62276,31, 
David Suazo,https://www.transfermarkt.co.uk/david-suazo/profil/spieler/20749,29,£9.90m  
Carlos Pavón,https://www.transfermarkt.co.uk/carlos-pavon/profil/spieler/35362,35,£630k  
Víctor Bernárdez,https://www.transfermarkt.co.uk/victor-bernardez/profil/spieler/35349,27,£900k  
Maynor Figueroa,https://www.transfermarkt.co.uk/maynor-figueroa/profil/spieler/62240,26,£3.33m  
Hendry Thomas,https://www.transfermarkt.co.uk/hendry-thomas/profil/spieler/62275,24, 
Ramón Núñez,https://www.transfermarkt.co.uk/ramon-nunez/profil/spieler/39485,23,£900k  
Amado Guevara,https://www.transfermarkt.co.uk/amado-guevara/profil/spieler/30598,33,£720k  
Pepe,https://www.transfermarkt.co.uk/pepe/profil/spieler/14132,26,£19.80m  
Bruno Alves,https://www.transfermarkt.co.uk/bruno-alves/profil/spieler/13121,27,£8.10m  
Fábio Coentrão,https://www.transfermarkt.co.uk/fabio-coentrao/profil/spieler/33648,21,£1.26m  
Miguel,https://www.transfermarkt.co.uk/miguel/profil/spieler/13225,29,£7.20m  
Duda,https://www.transfermarkt.co.uk/duda/profil/spieler/7782,29,£5.40m  
Deco,https://www.transfermarkt.co.uk/deco/profil/spieler/8564,31,£9.90m  
Cristiano Ronaldo,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,24,£54.00m  
Hugo Almeida,https://www.transfermarkt.co.uk/hugo-almeida/profil/spieler/9824,25,£6.30m  
Ricardo Carvalho,https://www.transfermarkt.co.uk/ricardo-carvalho/profil/spieler/9828,31,£15.75m  
Ricardo Costa,https://www.transfermarkt.co.uk/ricardo-costa/profil/spieler/9819,28,£3.15m  
Paulo Ferreira,https://www.transfermarkt.co.uk/paulo-ferreira/profil/spieler/9832,30,£3.60m  
Pedro Mendes,https://www.transfermarkt.co.uk/pedro-mendes/profil/spieler/9811,30,£5.63m  
Tiago,https://www.transfermarkt.co.uk/tiago/profil/spieler/8538,28,£7.20m  
Danny,https://www.transfermarkt.co.uk/danny/profil/spieler/14119,25,£18.00m  
Simão,https://www.transfermarkt.co.uk/simao/profil/spieler/8019,29,£19.80m  
Patrice Evra,https://www.transfermarkt.co.uk/patrice-evra/profil/spieler/5285,28,£20.70m  
Gaël Clichy,https://www.transfermarkt.co.uk/gael-clichy/profil/spieler/7449,23,£13.50m  
Bacary Sagna,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764,26,£13.50m  
Yoann Gourcuff,https://www.transfermarkt.co.uk/yoann-gourcuff/profil/spieler/18912,22,£16.65m  
Franck Ribéry,https://www.transfermarkt.co.uk/franck-ribery/profil/spieler/22068,26,£36.00m  
Nicolas Anelka,https://www.transfermarkt.co.uk/nicolas-anelka/profil/spieler/3226,30,£24.75m  
William Gallas,https://www.transfermarkt.co.uk/william-gallas/profil/spieler/3156,31,£14.40m  
Jérémy Toulalan,https://www.transfermarkt.co.uk/jeremy-toulalan/profil/spieler/5513,25,£19.80m  
Alou Diarra,https://www.transfermarkt.co.uk/alou-diarra/profil/spieler/1327,27,£11.25m  
Florent Malouda,https://www.transfermarkt.co.uk/florent-malouda/profil/spieler/5461,29,£16.65m  
Abou Diaby,https://www.transfermarkt.co.uk/abou-diaby/profil/spieler/26763,23,£4.50m  
Djibril Cissé,https://www.transfermarkt.co.uk/djibril-cisse/profil/spieler/3966,27,£9.45m  
Joris Mathijsen,https://www.transfermarkt.co.uk/joris-mathijsen/profil/spieler/4563,29,£10.80m  
Nigel de Jong,https://www.transfermarkt.co.uk/nigel-de-jong/profil/spieler/4672,24,£11.25m  
Arjen Robben,https://www.transfermarkt.co.uk/arjen-robben/profil/spieler/4360,25,£27.00m  
Robin van Persie,https://www.transfermarkt.co.uk/robin-van-persie/profil/spieler/4380,25,£18.90m  
Khalid Boulahrouz,https://www.transfermarkt.co.uk/khalid-boulahrouz/profil/spieler/4489,27,£4.50m  
Gregory van der Wiel,https://www.transfermarkt.co.uk/gregory-van-der-wiel/profil/spieler/45548,21,£3.60m  
Wesley Sneijder,https://www.transfermarkt.co.uk/wesley-sneijder/profil/spieler/4673,25,£23.40m  
Dirk Kuyt,https://www.transfermarkt.co.uk/dirk-kuyt/profil/spieler/4010,28,£16.20m  
Per Mertesacker,https://www.transfermarkt.co.uk/per-mertesacker/profil/spieler/6710,24,£13.50m  
Arne Friedrich,https://www.transfermarkt.co.uk/arne-friedrich/profil/spieler/698,30,£8.10m  
Holger Badstuber,https://www.transfermarkt.co.uk/holger-badstuber/profil/spieler/54659,20,£360k  
Mesut Özil,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664,20,£9.00m  
