name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Toni Kroos,https://www.transfermarkt.co.uk/toni-kroos/nationalmannschaft/spieler/31909,28,£72.00m  ,85,13,15,4,-,-,6428,183
Mesut Özil,https://www.transfermarkt.co.uk/mesut-ozil/nationalmannschaft/spieler/35664,29,£45.00m  ,91,23,40,4,-,-,7403,180
Julian Draxler,https://www.transfermarkt.co.uk/julian-draxler/nationalmannschaft/spieler/85148,24,£31.50m  ,46,6,6,2,-,-,2860,187
Mats Hummels,https://www.transfermarkt.co.uk/mats-hummels/nationalmannschaft/spieler/39728,29,£54.00m  ,65,5,5,11,-,-,5420,191
Antonio Rüdiger,https://www.transfermarkt.co.uk/antonio-rudiger/nationalmannschaft/spieler/86202,25,£36.00m  ,25,1,-,-,-,-,1992,191
Jonas Hector,https://www.transfermarkt.co.uk/jonas-hector/nationalmannschaft/spieler/108537,28,£13.50m  ,39,3,10,-,-,-,3264,185
Sami Khedira,https://www.transfermarkt.co.uk/sami-khedira/nationalmannschaft/spieler/29401,31,£23.40m  ,76,7,9,8,-,-,5607,189
Marco Reus,https://www.transfermarkt.co.uk/marco-reus/nationalmannschaft/spieler/35207,29,£31.50m  ,33,10,6,3,-,-,2046,180
Timo Werner,https://www.transfermarkt.co.uk/timo-werner/nationalmannschaft/spieler/170527,22,£54.00m  ,16,8,2,-,-,-,1062,181
Lukasz Piszczek,https://www.transfermarkt.co.uk/lukasz-piszczek/nationalmannschaft/spieler/25727,33,£3.60m  ,64,3,9,3,-,-,5022,184
Piotr Zielinski,https://www.transfermarkt.co.uk/piotr-zielinski/nationalmannschaft/spieler/181136,24,£28.80m  ,34,5,8,2,-,-,2143,180
Kamil Grosicki,https://www.transfermarkt.co.uk/kamil-grosicki/nationalmannschaft/spieler/37920,30,£6.30m  ,58,12,19,3,-,-,3822,180
Arkadiusz Milik,https://www.transfermarkt.co.uk/arkadiusz-milik/nationalmannschaft/spieler/191891,24,£18.00m  ,41,12,12,2,-,-,2849,186
Michal Pazdan,https://www.transfermarkt.co.uk/michal-pazdan/nationalmannschaft/spieler/54512,30,£1.80m  ,34,-,-,4,-,-,2604,181
Maciej Rybus,https://www.transfermarkt.co.uk/maciej-rybus/nationalmannschaft/spieler/59597,28,£2.88m  ,52,2,11,5,-,-,3270,173
Samuel Umtiti,https://www.transfermarkt.co.uk/samuel-umtiti/nationalmannschaft/spieler/126540,24,£54.00m  ,21,2,-,2,-,-,1802,181
Corentin Tolisso,https://www.transfermarkt.co.uk/corentin-tolisso/nationalmannschaft/spieler/190393,23,£36.00m  ,10,-,1,1,-,-,683,181
Olivier Giroud,https://www.transfermarkt.co.uk/olivier-giroud/nationalmannschaft/spieler/82442,31,£16.20m  ,76,31,9,4,-,-,3904,192
Raphaël Varane,https://www.transfermarkt.co.uk/raphael-varane/nationalmannschaft/spieler/164770,25,£63.00m  ,44,2,-,-,-,1,3766,191
Benjamin Pavard,https://www.transfermarkt.co.uk/benjamin-pavard/nationalmannschaft/spieler/353366,22,£27.00m  ,8,-,1,-,-,-,453,186
N'Golo Kanté,https://www.transfermarkt.co.uk/ngolo-kante/nationalmannschaft/spieler/225083,27,£54.00m  ,26,1,1,3,-,-,1826,168
Paul Pogba,https://www.transfermarkt.co.uk/paul-pogba/nationalmannschaft/spieler/122153,25,£81.00m  ,56,9,7,9,1,-,4312,191
Blaise Matuidi,https://www.transfermarkt.co.uk/blaise-matuidi/nationalmannschaft/spieler/33923,31,£27.00m  ,69,9,7,7,-,-,4817,180
Ousmane Dembélé,https://www.transfermarkt.co.uk/ousmane-dembele/nationalmannschaft/spieler/288230,21,£72.00m  ,14,2,1,-,-,-,624,178
Antoine Griezmann,https://www.transfermarkt.co.uk/antoine-griezmann/nationalmannschaft/spieler/125781,27,£90.00m  ,56,21,10,1,-,-,3743,175
Thiago Silva,https://www.transfermarkt.co.uk/thiago-silva/nationalmannschaft/spieler/29241,33,£9.00m  ,73,5,3,8,-,-,5951,183
Philippe Coutinho,https://www.transfermarkt.co.uk/philippe-coutinho/nationalmannschaft/spieler/80444,26,£90.00m  ,39,12,5,3,-,-,2496,172
Gabriel Jesus,https://www.transfermarkt.co.uk/gabriel-jesus/nationalmannschaft/spieler/363205,21,£72.00m  ,19,10,6,1,-,-,1466,175
Miranda,https://www.transfermarkt.co.uk/miranda/nationalmannschaft/spieler/33357,33,£7.20m  ,49,2,1,3,-,1,4012,186
Marcelo,https://www.transfermarkt.co.uk/marcelo/nationalmannschaft/spieler/44501,30,£54.00m  ,56,6,12,10,-,1,4357,174
Casemiro,https://www.transfermarkt.co.uk/casemiro/nationalmannschaft/spieler/16306,26,£54.00m  ,26,-,1,5,-,-,1605,185
Paulinho,https://www.transfermarkt.co.uk/paulinho/nationalmannschaft/spieler/57229,29,£36.00m  ,52,12,10,6,-,-,4149,181
Neymar ,https://www.transfermarkt.co.uk/neymar/nationalmannschaft/spieler/68290,26,£162.00m  ,87,56,36,21,-,1,7304,175
Alberto Rodríguez,https://www.transfermarkt.co.uk/alberto-rodriguez/nationalmannschaft/spieler/30543,34,£225k  ,68,-,1,7,-,-,5695,183
Yoshimar Yotún,https://www.transfermarkt.co.uk/yoshimar-yotun/nationalmannschaft/spieler/94880,28,£810k  ,74,2,8,12,1,2,4842,171
Christian Cueva,https://www.transfermarkt.co.uk/christian-cueva/nationalmannschaft/spieler/95280,26,£2.70m  ,47,8,8,3,-,1,3540,169
Christian Ramos,https://www.transfermarkt.co.uk/christian-ramos/nationalmannschaft/spieler/84506,29,£720k  ,67,3,-,11,1,-,5157,185
Miguel Trauco,https://www.transfermarkt.co.uk/miguel-trauco/nationalmannschaft/spieler/177690,25,£1.58m  ,27,-,3,3,-,-,2286,175
Luis Advíncula,https://www.transfermarkt.co.uk/luis-advincula/nationalmannschaft/spieler/103890,28,£1.35m  ,67,-,2,11,-,-,4851,178
Jefferson Farfán,https://www.transfermarkt.co.uk/jefferson-farfan/nationalmannschaft/spieler/16649,33,£1.80m  ,73,21,6,11,-,-,5424,178
Ivan Strinic,https://www.transfermarkt.co.uk/ivan-strinic/nationalmannschaft/spieler/39799,30,£3.60m  ,45,-,3,4,-,-,3698,186
Sime Vrsaljko,https://www.transfermarkt.co.uk/sime-vrsaljko/nationalmannschaft/spieler/76061,26,£22.50m  ,37,-,7,7,-,-,2543,181
Mario Mandzukic,https://www.transfermarkt.co.uk/mario-mandzukic/nationalmannschaft/spieler/34572,32,£16.20m  ,85,30,10,10,-,1,5955,190
Ante Rebic,https://www.transfermarkt.co.uk/ante-rebic/nationalmannschaft/spieler/187587,24,£9.00m  ,18,2,-,2,-,1,601,185
Dejan Lovren,https://www.transfermarkt.co.uk/dejan-lovren/nationalmannschaft/spieler/37838,28,£18.00m  ,41,2,-,6,-,-,3080,188
Domagoj Vida,https://www.transfermarkt.co.uk/domagoj-vida/nationalmannschaft/spieler/46083,29,£6.30m  ,61,2,-,11,-,-,4752,184
Ivan Rakitic,https://www.transfermarkt.co.uk/ivan-rakitic/nationalmannschaft/spieler/32467,30,£45.00m  ,92,15,16,8,-,-,6943,184
Andrej Kramaric,https://www.transfermarkt.co.uk/andrej-kramaric/nationalmannschaft/spieler/46580,27,£24.30m  ,33,9,3,1,-,-,1401,177
Pepe,https://www.transfermarkt.co.uk/pepe/nationalmannschaft/spieler/14132,35,£1.80m  ,97,5,2,19,-,1,7948,187
