Date,Team1,Team1_score,Team2,Team2_score,team1_fouls,team2_fouls,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_offsides,team2_offsides,team1_won_corners,team2_won_corners,team1_saves,team2_saves,team1_possession,team2_possession,team1_shots,team2_shots,team1_lineup,team2_lineup
20140623,Australia,0,Spain,3,14,9,2,1,0,0,1,6,2,6,0,2,45%,55%,4 (0),11 (8),1 Mathew Ryan_6 Matthew Spiranovic  _22 Alex Wilkinson_3 Jason Davidson_19 Ryan McGowan_13 Oliver Bozanic_17 Matt McKay_15 Mile Jedinak  _9 Adam Taggart_11 Tommy Oar_7 Mathew Leckie,23 Pepe Reina_15 Sergio Ramos  _2 Raúl Albiol_18 Jordi Alba_5 Juanfran_14 Xabi Alonso_6 Andrés Iniesta_17 Koke_9 Fernando Torres  _7 David Villa  _20 Santi Cazorla
20140623,Netherlands,2,Chile,0,26,14,1,1,0,0,1,2,2,7,3,1,36%,64%,13 (8),7 (1),1 Jasper Cillessen_2 Ron Vlaar_5 Daley Blind  _3 Stefan de Vrij_6 Nigel de Jong_20 Georginio Wijnaldum_10 Wesley Sneijder_15 Dirk Kuyt_7 Daryl Janmaat_17 Jeremain Lens_11 Arjen Robben,1 Claudio Bravo_17 Gary Medel_18 Gonzalo Jara_5 Francisco Silva  _16 Felipe Gutiérrez_21 Marcelo Díaz_20 Charles Aránguiz_2 Eugenio Mena_4 Mauricio Isla_11 Eduardo Vargas_7 Alexis Sánchez
20140623,Cameroon,1,Brazil,4,14,19,3,0,0,0,1,3,6,7,0,6,46%,54%,12 (6),19 (18),16 Charles Itandje_21 Joël Matip  _3 Nicolas N'Koulou_17 Stéphane M'bia  _12 Henri Bedimo_22 Allan Nyom_7 Landry N'Guemo_18 Eyong Enoh  _13 Maxim Choupo-Moting_8 Benjamin Moukandjo_10 Vincent Aboubakar,"12 Júlio César_4 David Luiz_3 Thiago Silva_6 Marcelo_2 Dani Alves_11 Oscar_17 Luiz Gustavo_8 Paulinho_9 Fred  _10 Neymar  
 _7 Hulk"
20140623,Croatia,1,Mexico,3,18,12,1,2,1,0,1,1,7,9,1,1,55%,45%,10 (5),12 (7),1 Stipe Pletikosa_6 Dejan Lovren_5 Vedran Corluka_2 Sime Vrsaljko_11 Darijo Srna_10 Luka Modric_3 Danijel Pranjic_7 Ivan Rakitic  _17 Mario Mandzukic_18 Ivica Olic_4 Ivan Perisic  ,"13 Guillermo Ochoa_4 Rafael Márquez  
 _15 Héctor Moreno_2 Maza_7 Miguel Layún_22 Paul Aguilar_23 José Vázquez  _18 Andrés Guardado  _6 Héctor Herrera_19 Oribe Peralta_10 Giovani Dos Santos"
20140624,Costa Rica,0,England,0,17,17,1,2,0,0,3,1,3,7,2,1,47%,53%,4 (3),8 (3),1 Keylor Navas_3 Giancarlo González  _19 Roy Miller_6 Óscar Duarte_15 Júnior Díaz_16 Cristian Gamboa_17 Yeltsin Tejeda_5 Celso Borges_14 Randall Brenes_10 Bryan Ruiz_9 Joel Campbell,13 Ben Foster_12 Chris Smalling_5 Gary Cahill_23 Luke Shaw_16 Phil Jones_21 Ross Barkley  _7 Jack Wilshere_8 Frank Lampard_9 Daniel Sturridge_20 Adam Lallana  _17 James Milner
20140624,Italy,0,Uruguay,1,19,20,2,2,1,0,3,1,3,3,1,4,55%,45%,9 (5),14 (9),1 Gianluigi Buffon_19 Leonardo Bonucci_3 Giorgio Chiellini_15 Andrea Barzagli_8 Claudio Marchisio  _23 Marco Verratti_21 Andrea Pirlo_2 Mattia De Sciglio  _4 Matteo Darmian_17 Ciro Immobile_9 Mario Balotelli  ,1 Fernando Muslera  _3 Diego Godín  _22 Martín Cáceres_13 José Giménez_6 Álvaro Pereira_20 Álvaro González_17 Egidio Arévalo Ríos  _7 Cristian Rodríguez_14 Nicolas Lodeiro_9 Luis Suárez_21 Edinson Cavani
20140624,Greece,2,Ivory Coast,1,13,23,0,3,0,0,1,1,4,7,2,0,46%,54%,13 (5),13 (9),1 Orestis Karnezis_19 Sokratis Papastathopoulos_4 Kostas Manolas_20 José Holebas_15 Vasilis Torosidis_8 Panagiotis Kone_10 Georgios Karagounis_2 Giannis Maniatis_7 Giorgos Samaras  _16 Lazaros Christodoulopoulos_14 Dimitris Salpingidis,1 Boubacar Barry_22 Sol Bamba_4 Kolo Touré_3 Arthur Boka_17 Serge Aurier_19 Yaya Touré_20 Serey Dié  _9 Cheick Tioté_11 Didier Drogba  _10 Gervinho_8 Salomon Kalou  
20140624,Japan,1,Colombia,4,10,19,1,1,0,0,0,2,9,2,5,0,56%,44%,23 (13),13 (9),1 Eiji Kawashima_15 Yasuyuki Konno  _22 Maya Yoshida_5 Yuto Nagatomo_2 Atsuto Uchida_4 Keisuke Honda_17 Makoto Hasebe_14 Toshihiro Aoyama_13 Yoshito Okubo_10 Shinji Kagawa_9 Shinji Okazaki  ,"1 David Ospina_16 Éder Balanta_23 Carlos Valdés_15 Alexander Mejía_7 Pablo Armero_4 Santiago Arias_20 Juan Quintero_13 Fredy Guarín  _21 Jackson Martínez  
 _11 Juan Cuadrado  _19 Adrián Ramos"
20140625,Bosnia and Herzegovina,3,Iran,1,20,17,1,1,0,0,1,8,6,5,3,1,62%,38%,13 (9),7 (5),1 Asmir Begovic_4 Emir Spahic_15 Toni Sunjic_21 Anel Hadzic_5 Sead Kolasinac_2 Avdija Vrsajevic  _8 Miralem Pjanic  _14 Tino Susic_7 Muhamed Besic  _9 Vedad Ibisevic_11 Edin Dzeko  ,12 Alireza Haghighi_5 Amirhossein Sadeghi_4 Seyed Jalal Hosseini_23 Mehrdad Pooladi_15 Pejman Montazeri_3 Ehsan Hajsafi_6 Javad Nekounam_14 Andranik Teymourian_16 Reza Ghoochannejhad  _21 Ashkan Dejagah_7 Masoud Shojaei
20140625,Nigeria,2,Argentina,3,17,6,2,0,0,0,1,2,4,12,1,9,43%,57%,12 (7),18 (13),"1 Vincent Enyeama_22 Kenneth Omeruo  _2 Joseph Yobo_13 Juwon Oshaniwa  _5 Efe Ambrose_18 Michael Babatunde_10 John Obi Mikel_17 Ogenyi Onazi_9 Emmanuel Emenike_7 Ahmed Musa  
 _8 Peter Odemwingie","1 Sergio Romero_2 Ezequiel Garay_17 Federico Fernández_14 Javier Mascherano_16 Marcos Rojo  _4 Pablo Zabaleta_10 Lionel Messi  
 _7 Ángel Di María_5 Fernando Gago_20 Sergio Agüero_9 Gonzalo Higuaín"
