,name,link,age,value
123,Vagiz Khidiyatullin,https://www.transfermarkt.co.uk/vagiz-khidiyatullin/profil/spieler/118261,22, 
124,Aleksandre Chivadze,https://www.transfermarkt.co.uk/aleksandre-chivadze/profil/spieler/117376,26, 
125,Sergey Borovski,https://www.transfermarkt.co.uk/sergey-borovski/profil/spieler/131537,25, 
126,Oleg Romantsev,https://www.transfermarkt.co.uk/oleg-romantsev/profil/spieler/131541,27, 
127,Volodymyr Bessonov,https://www.transfermarkt.co.uk/volodymyr-bessonov/profil/spieler/117371,23, 
128,Andriy Bal,https://www.transfermarkt.co.uk/andriy-bal/profil/spieler/117370,23, 
129,Khoren Oganesyan,https://www.transfermarkt.co.uk/khoren-oganesyan/profil/spieler/131535,26, 
130,Vadym Yevtushenko,https://www.transfermarkt.co.uk/vadym-yevtushenko/profil/spieler/117381,23, 
131,Ramaz Shengeliya,https://www.transfermarkt.co.uk/ramaz-shengeliya/profil/spieler/131532,23, 
132,Sergey Rodionov,https://www.transfermarkt.co.uk/sergey-rodionov/profil/spieler/88146,18, 
133,Viktor Chanov,https://www.transfermarkt.co.uk/viktor-chanov/profil/spieler/134174,21, 
134,Tengiz Sulakvelidze,https://www.transfermarkt.co.uk/tengiz-sulakvelidze/profil/spieler/118263,24, 
135,Nodar Khizanishvili,https://www.transfermarkt.co.uk/nodar-khizanishvili/profil/spieler/187702,28, 
136,Sergiy Baltacha,https://www.transfermarkt.co.uk/sergiy-baltacha/profil/spieler/118259,23, 
137,Yuri Susloparov,https://www.transfermarkt.co.uk/yuri-susloparov/profil/spieler/131539,22, 
138,Anatoliy Demyanenko,https://www.transfermarkt.co.uk/anatoliy-demyanenko/profil/spieler/117378,22, 
139,Vitaly Daraselia,https://www.transfermarkt.co.uk/vitaly-daraselia/profil/spieler/131536,23, 
140,Yuri Gavrilov,https://www.transfermarkt.co.uk/yuri-gavrilov/profil/spieler/131533,28, 
141,Leonid Buryak,https://www.transfermarkt.co.uk/leonid-buryak/profil/spieler/129232,27, 
142,Oleg Blokhin,https://www.transfermarkt.co.uk/oleg-blokhin/profil/spieler/117372,28, 
143,Sergey Andreev,https://www.transfermarkt.co.uk/sergey-andreev/profil/spieler/131538,25, 
144,Dino Zoff,https://www.transfermarkt.co.uk/dino-zoff/profil/spieler/89229,39, 
145,Ivano Bordon,https://www.transfermarkt.co.uk/ivano-bordon/profil/spieler/215581,30, 
146,Franco Baresi,https://www.transfermarkt.co.uk/franco-baresi/profil/spieler/42049,21, 
147,Fulvio Collovati,https://www.transfermarkt.co.uk/fulvio-collovati/profil/spieler/116697,24, 
148,Luciano Marangon,https://www.transfermarkt.co.uk/luciano-marangon/profil/spieler/228872,24, 
149,Giuseppe Bergomi,https://www.transfermarkt.co.uk/giuseppe-bergomi/profil/spieler/107860,17, 
150,Gianpiero Marini,https://www.transfermarkt.co.uk/gianpiero-marini/profil/spieler/128888,30, 
151,Marco Tardelli,https://www.transfermarkt.co.uk/marco-tardelli/profil/spieler/116744,26, 
152,Giuseppe Dossena,https://www.transfermarkt.co.uk/giuseppe-dossena/profil/spieler/128883,23, 
153,Franco Causio,https://www.transfermarkt.co.uk/franco-causio/profil/spieler/128882,32, 
154,Roberto Pruzzo,https://www.transfermarkt.co.uk/roberto-pruzzo/profil/spieler/103033,26, 
155,Alessandro Altobelli,https://www.transfermarkt.co.uk/alessandro-altobelli/profil/spieler/116678,25, 
156,Paolo Rossi,https://www.transfermarkt.co.uk/paolo-rossi/profil/spieler/116757,24, 
157,Claudio Bordon,https://www.transfermarkt.co.uk/claudio-bordon/profil/spieler/128880,29, 
158,Giovanni Galli,https://www.transfermarkt.co.uk/giovanni-galli/profil/spieler/116706,23, 
159,Gaetano Scirea,https://www.transfermarkt.co.uk/gaetano-scirea/profil/spieler/116740,28, 
160,Pietro Vierchowod,https://www.transfermarkt.co.uk/pietro-vierchowod/profil/spieler/116750,22, 
161,Antonio Cabrini,https://www.transfermarkt.co.uk/antonio-cabrini/profil/spieler/116689,23, 
162,Claudio Gentile,https://www.transfermarkt.co.uk/claudio-gentile/profil/spieler/128893,27, 
163,Gabriele Oriali,https://www.transfermarkt.co.uk/gabriele-oriali/profil/spieler/128889,28, 
